image_id,image_url,scene_type,country,image_set,notes
IND_CAM_042,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Campus/campus_042.jpg,Campus,India,A,
IND_COM_165,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Commercial/Commercial_165.jpg,Commercial,India,A,
IND_HWY_0002,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Highway/Highway_0002.jpg,Highway,India,A,
IND_IND_004,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Industrial/Industrial_004.jpg,Industrial,India,A,
IND_RES_001,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Residential/Residential_001.jpg,Residential,India,A,
IND_CAM_044,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Campus/campus_044.jpg,Campus,India,B,
IND_COM_179,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Commercial/Commercial_179.jpg,Commercial,India,B,
IND_HWY_0070,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Highway/Highway_0070.jpg,Highway,India,B,
IND_IND_096,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Industrial/Industrial_096.jpg,Industrial,India,B,
IND_RES_032,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Residential/Residential_032.jpg,Residential,India,B,
IND_CAM_052,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Campus/campus_052.jpg,Campus,India,C,
IND_COM_235,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Commercial/Commercial_235.jpg,Commercial,India,C,
IND_HWY_0135,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Highway/Highway_0135.jpg,Highway,India,C,
IND_IND_100,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Industrial/Industrial_100.jpg,Industrial,India,C,
IND_RES_039,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Residential/Residential_039.jpg,Residential,India,C,
IND_CAM_116,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Campus/campus_116.jpg,Campus,India,D,
IND_COM_306,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Commercial/Commercial_306.jpg,Commercial,India,D,
IND_HWY_0217,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Highway/Highway_0217.jpg,Highway,India,D,
IND_IND_152,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Industrial/Industrial_152.jpg,Industrial,India,D,
IND_RES_093,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Residential/Residential_093.jpg,Residential,India,D,
IND_CAM_177,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Campus/campus_177.jpg,Campus,India,E,
IND_COM_382,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Commercial/Commercial_382.jpg,Commercial,India,E,
IND_HWY_0260,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Highway/Highway_0260.jpg,Highway,India,E,
IND_IND_154,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Industrial/Industrial_154.jpg,Industrial,India,E,
IND_RES_114,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/India/Residential/Residential_114.jpg,Residential,India,E,
