country,scene,sequence,old_relative_path,old_filename,new_relative_path,new_filename
India,Campus,1,Survey_Images/India/Campus/campus_042.jpg,campus_042.jpg,Survey_Images_flat/india_campus_1.jpg,india_campus_1.jpg
India,Campus,2,Survey_Images/India/Campus/campus_044.jpg,campus_044.jpg,Survey_Images_flat/india_campus_2.jpg,india_campus_2.jpg
India,Campus,3,Survey_Images/India/Campus/campus_052.jpg,campus_052.jpg,Survey_Images_flat/india_campus_3.jpg,india_campus_3.jpg
India,Campus,4,Survey_Images/India/Campus/campus_116.jpg,campus_116.jpg,Survey_Images_flat/india_campus_4.jpg,india_campus_4.jpg
India,Campus,5,Survey_Images/India/Campus/campus_177.jpg,campus_177.jpg,Survey_Images_flat/india_campus_5.jpg,india_campus_5.jpg
India,Campus,6,Survey_Images/India/Campus/campus_185.jpg,campus_185.jpg,Survey_Images_flat/india_campus_6.jpg,india_campus_6.jpg
India,Commercial,1,Survey_Images/India/Commercial/Commercial_165.jpg,Commercial_165.jpg,Survey_Images_flat/india_commercial_1.jpg,india_commercial_1.jpg
India,Commercial,2,Survey_Images/India/Commercial/Commercial_179.jpg,Commercial_179.jpg,Survey_Images_flat/india_commercial_2.jpg,india_commercial_2.jpg
India,Commercial,3,Survey_Images/India/Commercial/Commercial_235.jpg,Commercial_235.jpg,Survey_Images_flat/india_commercial_3.jpg,india_commercial_3.jpg
India,Commercial,4,Survey_Images/India/Commercial/Commercial_306.jpg,Commercial_306.jpg,Survey_Images_flat/india_commercial_4.jpg,india_commercial_4.jpg
India,Commercial,5,Survey_Images/India/Commercial/Commercial_382.jpg,Commercial_382.jpg,Survey_Images_flat/india_commercial_5.jpg,india_commercial_5.jpg
India,Commercial,6,Survey_Images/India/Commercial/Commercial_385.jpg,Commercial_385.jpg,Survey_Images_flat/india_commercial_6.jpg,india_commercial_6.jpg
India,Highway,1,Survey_Images/India/Highway/Highway_0002.jpg,Highway_0002.jpg,Survey_Images_flat/india_highway_1.jpg,india_highway_1.jpg
India,Highway,2,Survey_Images/India/Highway/Highway_0070.jpg,Highway_0070.jpg,Survey_Images_flat/india_highway_2.jpg,india_highway_2.jpg
India,Highway,3,Survey_Images/India/Highway/Highway_0135.jpg,Highway_0135.jpg,Survey_Images_flat/india_highway_3.jpg,india_highway_3.jpg
India,Highway,4,Survey_Images/India/Highway/Highway_0217.jpg,Highway_0217.jpg,Survey_Images_flat/india_highway_4.jpg,india_highway_4.jpg
India,Highway,5,Survey_Images/India/Highway/Highway_0260.jpg,Highway_0260.jpg,Survey_Images_flat/india_highway_5.jpg,india_highway_5.jpg
India,Highway,6,Survey_Images/India/Highway/Highway_0340.jpg,Highway_0340.jpg,Survey_Images_flat/india_highway_6.jpg,india_highway_6.jpg
India,Industrial,1,Survey_Images/India/Industrial/Industrial_004.jpg,Industrial_004.jpg,Survey_Images_flat/india_industrial_1.jpg,india_industrial_1.jpg
India,Industrial,2,Survey_Images/India/Industrial/Industrial_096.jpg,Industrial_096.jpg,Survey_Images_flat/india_industrial_2.jpg,india_industrial_2.jpg
India,Industrial,3,Survey_Images/India/Industrial/Industrial_100.jpg,Industrial_100.jpg,Survey_Images_flat/india_industrial_3.jpg,india_industrial_3.jpg
India,Industrial,4,Survey_Images/India/Industrial/Industrial_152.jpg,Industrial_152.jpg,Survey_Images_flat/india_industrial_4.jpg,india_industrial_4.jpg
India,Industrial,5,Survey_Images/India/Industrial/Industrial_154.jpg,Industrial_154.jpg,Survey_Images_flat/india_industrial_5.jpg,india_industrial_5.jpg
India,Industrial,6,Survey_Images/India/Industrial/Industrial_170.jpg,Industrial_170.jpg,Survey_Images_flat/india_industrial_6.jpg,india_industrial_6.jpg
India,Residential,1,Survey_Images/India/Residential/Residential_001.jpg,Residential_001.jpg,Survey_Images_flat/india_residential_1.jpg,india_residential_1.jpg
India,Residential,2,Survey_Images/India/Residential/Residential_032.jpg,Residential_032.jpg,Survey_Images_flat/india_residential_2.jpg,india_residential_2.jpg
India,Residential,3,Survey_Images/India/Residential/Residential_039.jpg,Residential_039.jpg,Survey_Images_flat/india_residential_3.jpg,india_residential_3.jpg
